QUARTER,City,City,latitude,longitude,name,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020
"Oman, Salalah",Salalah,Salalah,17.014904,54.095687,Salalah,18.97412752,19.13187706,18.81341153,24.82274414,25.02802547,25.79914481,26.05866626,26.66195431,25.6564617,27.4693899,30.76106823,30.06631561,29.68447204,39.30051415,29.07287274,29.52014328,28.2778983,33.19696488,38.18972607,37.86320553,38.2436352,36.58610871,37.74868053,37.34442711,36.97695029,37.48169044,39.03576161,38.36849455,38.38308216,37.80248501,37.65289642,37.7956554,37.9514991,39.66038023,42.21156844,40.80589443,36.53235495,36.21593047,36.19148982,36.67156084,39.2786555,38.78100688,41.35156627,47.73880501,47.70404419,48.25996645,49.64728732,52.50626392,52.74226273,50.97469478,49.4881792,49.44691508,49.87037021,48.26466385,44.30014638,46.85616427,46.4554553,54.77337981,55.17137736
"United Kingdom, Southampton",Southampton,Southampton,50.902535,-1.404189,Southampton,24.54274185,25.52316958,25.50497359,27.24161719,29.50347305,29.48710871,28.35454984,28.22069202,28.0724297,28.10200219,26.56777221,29.93902934,30.80755382,30.52689072,30.44031869,30.86488063,31.05624809,31.9305729,32.20980381,36.15809778,34.68383997,31.392103,31.18233925,33.30003445,30.37832621,34.00708143,34.07258259,38.56854934,39.06761838,39.92252722,39.78086656,40.39707585,40.50374636,40.50500825,39.88606118,40.0493914,40.73018987,44.69027929,45.01523473,46.78516306,46.41287866,46.15251153,45.59528989,45.66065162,45.8180226,50.3991094,50.69316897,50.48291324,50.20323699,49.1189616,48.82371545,49.27764802,48.35706975,48.94414261,49.32421163,48.75100064,49.57022449,55.2075451,54.97675484
"Japan, Tokyo",Tokyo,Tokyo,35.680071,139.768522,Tokyo,43.91154006,48.42162675,45.42096365,45.30640456,45.78597247,45.00873876,45.27966681,45.69453502,44.63890618,43.86712712,43.94794859,43.67760041,44.95971149,46.03793488,44.91003968,43.24171517,47.65435762,49.4913727,49.67790501,50.22070263,49.67121934,50.66342292,49.95621012,48.5519689,48.02618792,47.92743501,48.45339769,48.27844282,50.02334592,48.97641057,48.82610768,48.78949862,48.00585354,47.05930727,47.47517231,48.16807841,48.41411439,49.06732411,48.76931997,48.1065597,48.55599066,47.59852585,48.51506291,47.83377622,47.21064674,46.25145405,47.35176807,48.41667827,47.47144652,53.3311825,53.56806081,53.57031917,53.94439512,53.71116544,53.53178586,55.76177371,56.09149387,55.20841363,51.74218547
"Saudi Arabia, Jeddah",Jeddah,Jeddah,21.582225,39.16404,Jeddah,36.84095148,36.91806108,38.75824358,39.07775269,40.96174119,40.0970601,41.00938783,41.90684012,41.3422475,40.61390791,39.74614226,39.78797044,40.54144014,41.65323683,40.40963244,39.73394663,40.72541774,41.15122512,42.1122999,46.19899336,49.08435428,48.11750442,49.16284336,49.43081008,47.99613901,47.81562026,47.80544478,47.85486507,47.47714383,48.26607613,48.04198419,48.52448067,48.15241166,47.30781746,47.68596257,47.37306647,45.95072202,46.54592654,46.8130955,47.18466242,47.33000478,47.75649876,47.47020985,45.62923094,45.82580559,44.75201867,45.70435521,45.39088998,46.07281572,46.54793924,46.35070531,51.19990482,50.28506273,50.12280612,50.2128285,57.50192033,57.37455959,51.75084295,51.56254919
"United States of America, New York/New Jersey",New York/New Jersey,New York City,40.713054,-74.007228,New York City,34.93595295,35.77811734,35.60038896,35.68588703,35.09431992,35.1503894,35.7514583,35.51637828,34.52922092,33.04010148,33.69889227,34.33619439,34.13819499,35.65139825,36.17652873,35.59341258,38.64402851,39.92756308,39.86564226,39.59582089,39.94331978,39.02662425,40.54686868,40.70703393,40.67496674,41.33081921,41.04997255,41.06046021,41.19504303,41.15258223,41.22545009,41.65332932,41.0075247,40.57135804,40.56070199,39.64025688,41.20972244,42.1430384,41.45466519,41.02786975,43.69342914,41.42166917,42.61661413,41.9053315,41.5770361,40.17738693,42.55349914,48.81822847,49.05420023,48.84070944,48.93119086,48.34232965,48.62167614,49.12453032,48.94962209,49.02023381,49.02701131,50.34983763,51.38559342
"Turkey, Ambarli",Ambarli,Ambarli,49.3173,3.40307,Ambarli,13.9635746,16.7962365,16.65539108,16.65394464,16.33275394,16.10636128,16.74025502,16.52676768,17.78685884,19.6109693,21.43033109,22.14257775,21.36971701,18.75371208,21.56490732,21.99231842,21.66858419,22.2548085,23.0386124,23.77111034,24.53906297,23.83752818,24.08557215,27.48720938,27.32066815,26.65536554,41.17231784,42.41330287,43.41227477,43.00040937,42.81557475,42.54233739,43.01367807,42.68430007,46.57028822,48.0837954,43.92492311,46.89215384,46.36099329,42.47997489,42.72002146,43.07173998,42.09990985,44.49219997,46.12871063,43.28622717,45.38490391,45.80215436,45.93682633,45.39084272,46.14327469,45.59062283,45.61074133,47.86386527,47.81381284,47.41912954,46.38405556,50.5821749,50.71107324
"United States of America, Oakland",Oakland,Oakland,37.804828,-122.27248,Oakland,33.00705699,33.27992072,33.07059387,32.58151726,31.76933111,32.07732454,32.77402035,33.83925286,33.63047445,33.61540491,34.78486638,34.60071694,33.3967706,32.73966232,33.55005398,33.46641265,33.93264449,32.42209889,33.63338416,34.05493702,36.75501534,37.80682987,37.08172169,34.72340565,34.64657751,41.78093907,41.38609738,43.00282446,41.22665874,41.51521212,41.63242463,43.02515562,40.81091647,42.81815981,42.69275127,38.84544896,41.85579417,39.32478664,43.67200026,43.9804808,51.47443089,51.65592291,42.30983846,41.34411889,48.30872103,42.63598086,42.73237735,43.5385097,43.7358989,43.29325051,43.31395138,42.50539495,42.59850005,42.0592141,42.29536668,42.4482464,43.39714111,44.91632687,50.11450208
"Japan, Kobe",Kobe,Kobe,34.725338,135.13425,Kobe,51.05143092,52.28443321,53.37660632,59.39139205,59.02268473,51.79605988,51.56851329,51.75434493,53.14545653,53.96733128,54.21628073,55.30289065,54.9586372,54.75194657,53.90942201,53.86384382,54.68035888,53.87938298,54.46683223,53.15043029,52.91090624,54.31838339,53.16633049,53.65643793,52.94839897,52.63712987,52.50135323,52.66344703,52.93162294,51.24242494,51.24448963,51.37434847,50.81633878,51.1631604,51.89460401,57.83438086,57.07099381,57.74793277,61.78389055,61.21959031,61.35342386,61.15155191,48.68351218,46.61040241,46.35428722,45.28412238,45.54205034,45.45289523,45.169944,44.81259238,45.28160532,44.6850588,45.00374991,45.32220161,45.11108797,45.3991031,45.12879253,47.94749849,49.77765979
"United States of America, Savannah",Savannah,Savannah,32.08059,-81.090103,Savannah,31.86344245,32.73432837,32.89198315,31.79354876,31.99823656,31.95429749,31.67903523,31.89152174,31.66280931,31.03857611,31.00849248,31.21743776,29.8688509,31.78334558,32.33791545,32.29659852,33.14654234,33.48368474,36.6064494,37.24280635,37.84053854,38.99204619,39.40865508,38.35509115,39.25673411,39.47346834,39.46754476,38.16381106,37.82798261,39.2804379,39.62734987,40.12655236,39.50339082,39.52234725,40.50429438,40.33947325,40.30089105,40.14229546,40.27130077,40.01743698,42.38529602,39.9415894,41.74972784,41.81082997,41.74641118,45.38685101,47.7209065,48.75900592,48.69199371,48.70978536,48.81158287,48.3167117,48.05093802,48.66138839,48.6087511,48.30817787,47.47294731,48.4573651,49.57678951
"Saudi Arabia, Damman",Damman,Damman,26.436782,50.103999,Damman,20.07412426,18.57212882,18.52063018,17.54462575,19.07127294,20.28064055,20.52083187,20.86267027,21.96301895,21.71601511,22.00646634,19.59712924,24.94096316,29.39727301,29.9716467,30.24288271,29.92089228,30.3110796,28.62890658,24.29966244,23.51190612,27.28598123,27.42159464,28.35172358,35.72909272,26.2665426,25.70830057,21.71930473,25.39900123,28.86439752,29.02236835,28.04346639,28.02054768,28.94012344,27.04836926,27.0321494,27.03258927,26.73002707,26.74014687,27.8799936,28.47309073,33.77897189,30.20480327,28.19651075,28.6226976,36.54369646,36.00491847,36.69687579,37.52046664,37.50258214,36.76008213,36.940707,36.11804668,49.31481783,49.22338043,49.64981474,48.94648357,48.47664266,49.54474433
"Italy, Genoa",Genoa,Genoa,44.40726,8.933862,Genoa,35.71674521,36.72191358,37.28798905,40.60394136,39.06860534,35.81569794,35.93849902,34.9160437,37.33625078,36.62930678,35.90592115,39.20287568,36.8673911,36.73280945,36.12127283,35.72570623,36.36869902,37.0388877,37.37552012,37.72510824,38.03427403,37.92999242,38.71850536,39.21191561,39.92902166,44.93951801,44.56598026,45.44049986,39.03604301,39.16882973,40.02067055,40.06122841,39.57841487,40.02207767,40.14523647,39.77447012,48.92451039,49.10959734,49.81347329,49.31241967,51.81142096,52.92440326,53.23780194,52.37919639,52.43885163,53.21865197,49.80533103,54.00384646,53.89734698,52.99418032,54.59129101,54.1863015,54.27212418,50.25478304,49.73019574,56.07920494,55.19561616,48.30499981,48.8891008
"United States of America, Long Beach",Long Beach,Long Beach,33.767168,-118.193723,Long Beach,29.94782483,30.13325255,29.45977689,28.21447392,27.53180043,27.65812291,29.81031614,29.45740072,29.13892534,29.80776084,28.91132225,28.50127958,27.77191681,26.54021416,26.11997319,25.96572575,26.87539652,26.52078649,27.867983,28.0906171,29.8483629,31.75729408,30.79220433,29.03567662,28.36308737,31.80611806,34.21530814,36.78727067,33.337359,33.90280123,33.96574083,35.90892143,33.96012018,34.07578044,29.60366547,30.48508712,33.36415249,35.25760131,31.95590755,32.34294581,44.06806179,45.24321443,35.9129991,34.82118054,35.66139103,36.26192121,37.46895287,37.14252391,39.86425971,37.73137956,35.81187351,35.25285734,38.38363931,37.14562193,38.46153971,38.91226121,40.97010805,41.98287904,48.3207743
"Poland, Gdansk",Gdansk,Gdansk,54.348226,18.654289,Gdansk,5.185304018,5.196533892,5.511645631,4.897974672,5.192694365,5.344522471,6.715353008,5.700505795,6.249888014,6.247479338,5.821544889,5.843405786,5.785381028,5.843543175,8.282399783,22.25630045,22.21513054,22.08951077,20.8733531,20.68486966,20.49466772,33.69577504,34.33731067,33.42422032,32.93241361,32.30130697,32.07274454,33.05682308,33.50676321,33.52712859,38.80995162,39.5613612,39.45875882,39.53763563,39.74471726,39.40124387,38.98438698,38.64184196,40.41217967,39.14380944,39.99127289,40.01571859,40.5915992,41.65222605,41.59947137,44.97247072,45.14707218,45.48454245,45.78312758,45.5298187,45.40652305,46.05888254,46.28722016,46.31488523,50.85939717,53.12494637,52.91427281,52.20782793,48.1837126
"Viet Nam, Haiphong",Haiphong,Haiphong,20.716356,106.799564,Haiphong,10.40936893,11.62883765,12.5778359,12.99551374,13.86508752,13.78355556,15.07227333,15.39130171,17.06454563,17.42886678,17.13186488,16.88272347,17.11628676,17.79224891,20.72913031,21.11175156,18.38543887,18.92441938,20.7137315,19.41957321,19.99614243,19.68553168,19.08269875,19.08647187,18.91374528,18.38895878,18.75365945,18.04913092,17.38254231,18.48750805,18.21698206,18.24943374,18.82862471,19.27059176,19.23455624,20.73817941,21.14902601,21.58245198,21.7600405,21.87693487,21.8186197,21.82052799,21.91554616,21.38863694,21.46882346,21.43573291,22.62145762,23.29155588,23.9983855,25.3963175,31.76286274,33.13849439,32.57079397,44.30337134,43.9268456,44.45360312,44.08654706,41.85392125,47.26686876
"Belgium, Zeebrugge",Zeebrugge,Zeebrugge,51.33162,3.208061,Zeebrugge,27.67875848,28.20174598,29.6267254,28.74604758,28.37178934,28.8824428,28.45385626,30.39029711,29.36344979,31.27011515,32.95339949,34.66362289,41.61593192,41.47262836,40.11716968,41.12379025,35.33124484,35.01488775,39.48502478,36.94776231,36.97457772,37.24149838,37.3513407,37.26970262,36.69969428,37.26101667,37.15917278,40.62415936,38.57182574,38.60191515,39.41610239,39.14834786,39.01919173,37.60091952,38.26043627,38.65200102,43.79791956,41.74363478,42.27504658,42.85347976,42.29217548,38.7077253,38.04999928,7.885029977,11.49481215,41.91668812,41.54837047,36.94194354,43.42288418,42.99689329,42.88373192,42.97348419,41.43422367,45.45750555,46.27444416,46.51673813,45.94673646,46.64155438,46.7070885
"Viet Nam, Ho Chi Minh City",Ho Chi Minh City,Ho Chi Minh City,10.782745,106.694898,Ho Chi Minh City,20.75826704,20.59263883,20.53907406,21.17454524,20.64226236,21.88862335,21.14232418,21.79267199,22.49747392,22.97889153,21.90630041,20.57614988,20.27970995,22.51766703,21.74321338,22.2966261,22.46397117,23.56157245,24.15801014,26.21250522,26.36160799,23.64893216,23.85094839,26.09353484,23.01725114,23.34165123,25.26319391,27.24214292,28.08336148,26.63355446,34.43397105,36.97371265,36.35147242,37.8556274,36.73383073,38.83465909,39.78894409,40.7307163,41.19582126,41.18509569,40.88487442,52.56126161,52.55294564,51.50695196,51.37909915,30.61670996,28.28515598,28.73170752,28.83875697,28.22942322,31.9215867,44.72357621,42.2334614,44.17825404,43.06039258,42.07083341,43.96970429,43.45246467,46.26172613
"India, Nhava Sheva",Nhava Sheva,Nhava Sheva,55.028222,82.923448,Nhava Sheva,33.31615966,32.4995282,30.06157528,30.72549925,32.4365754,33.18624456,33.36742422,33.60902658,33.33933401,34.70962793,37.26826343,36.91260169,34.8307058,35.3624762,34.12846214,34.33202047,33.6941428,34.13809515,33.98992138,33.77028671,34.05156649,36.38660294,35.66212811,35.24699326,34.63141883,30.31685275,29.7731119,29.64999353,33.59076562,32.94853878,33.21935363,33.35202123,33.56888035,34.41699024,34.64565332,34.9323836,35.36606415,37.01808095,38.61345217,38.781441,38.85729367,46.00158943,47.23954766,46.16388344,45.34506037,43.28544218,45.00795848,46.05677531,46.05148836,45.12080034,44.43385564,44.44447013,43.46994547,44.13785251,43.48895174,43.16246816,43.94137187,43.44103801,45.96562751
"India, Mundra",Mundra,Mundra,45.822453,25.046683,Mundra,15.60675917,16.61043046,18.28730969,17.96592915,18.85095902,17.80026259,18.344531,18.4645437,19.49284838,19.63416037,21.16989499,20.75819698,24.31590515,21.11232626,23.70564227,23.68959228,23.29064576,23.46578193,23.75458991,24.51935924,25.26667631,26.35933579,26.25213282,27.94953781,28.87836144,28.13552623,28.48003981,28.74029153,33.14938467,33.62154651,34.31259662,34.60371172,34.91361566,33.51561648,33.48877956,33.42704484,34.97376568,35.55015157,38.06662888,39.27308254,39.22547087,46.26841425,47.37453586,46.12592754,45.35972719,44.52306271,44.82677943,45.57829485,45.73015773,46.34338561,46.83470966,46.63156987,44.7190131,44.77080138,44.68798771,44.14786186,44.61218408,43.92303454,45.78828113
"Malta, Marsaxlokk",Marsaxlokk,Marsaxlokk,35.84185,14.544148,Marsaxlokk,24.57314543,28.35113254,29.73916584,27.26423019,27.21890835,29.1041526,29.40872624,28.36863278,28.71769342,29.51931881,31.77997682,36.86834708,35.84013428,36.82107804,35.36810922,36.22906112,37.62067809,35.1692831,35.466023,38.82397542,37.08189929,34.95725757,35.40341103,36.49217966,33.85638872,36.5064866,35.88739295,41.90694891,42.90501457,42.39522407,43.33240054,42.91774868,43.90893601,44.9050119,44.95350618,44.79069071,46.40380327,49.89483713,50.38706162,50.31632064,50.28648866,51.47752732,52.32713982,49.71938848,49.01430429,47.86497346,47.29239806,48.49461067,48.0214822,48.74453791,48.08544919,49.36910028,48.67772779,46.99904235,45.0787929,51.26178044,51.03915188,44.49123673,45.4906434
"Portugal, Sines",Sines,Sines,37.954003,-8.877264,Sines,10.78101396,11.03309484,12.50093518,12.45819724,13.04564709,14.22546943,12.71681854,12.74714343,21.44245588,22.32035245,22.20401542,22.22012825,22.11239433,22.36909589,31.69732264,31.68531142,22.56809798,26.73123948,31.76934939,31.4138966,31.73421046,31.35784715,31.93092523,31.70546931,31.25557367,31.70137425,29.74189798,29.36957792,31.43198242,31.6307466,32.79269513,32.72403069,32.67608989,31.20908576,31.02113097,32.76029063,33.45010871,33.11023086,34.08724675,34.21708528,34.45448933,34.44199005,34.13639334,34.45407795,41.55377599,34.8710055,34.89002115,37.46534401,37.49480861,50.51436832,49.21351885,50.69858436,50.37022534,36.67239531,36.95935583,35.7959814,37.53854414,39.63224932,45.20385105
"France, Dunkirk",Dunkirk,Dunkirk,50.847302,2.409029,Dunkirk,23.92950424,23.78480347,23.79096261,24.00477957,24.1777424,24.0403112,25.48808028,25.85348353,24.7642201,11.32365282,25.18490457,25.50007964,24.27773846,25.11633936,23.98429951,23.19123947,23.65436378,24.24083242,23.77569367,23.97711809,24.5002444,27.67075575,28.05646806,27.54960924,27.04927078,32.09090352,31.79192654,31.62169097,33.21563923,33.94882075,33.4986255,33.43419718,33.82481729,32.39196451,31.87260454,33.52908289,21.41143443,28.02787234,40.23174503,40.9753623,41.74911353,41.3498052,40.14340705,40.79012703,41.09788597,41.0737755,41.32529833,40.92932764,46.78848105,46.3721574,46.06217701,46.37872635,45.85953695,45.77981648,39.00034136,45.46707025,45.53394829,45.11311357,45.07887192
"Denmark, Aarhus",Aarhus,Aarhus,56.149628,10.213405,Aarhus,20.31607916,20.9038525,21.21561304,26.99266245,26.95246549,20.06771653,19.22057631,19.76825734,21.09502437,23.15341723,23.29123267,24.70227307,23.39865063,22.89542695,22.8242532,23.45075187,23.41936644,23.83053121,23.66120968,23.8366056,24.46551073,36.53136098,36.39463534,35.97777052,36.8592908,36.00902744,36.17261868,36.32225895,36.16341742,35.77885948,41.12910038,41.66017379,40.84637172,41.08208356,40.76407225,40.78780524,40.73126105,41.00385247,41.07826945,41.17245053,41.61230673,40.78144609,42.29835813,42.01007445,41.99144345,42.09470671,44.23112396,44.29730722,44.29730722,44.85725253,44.47728774,44.47796241,44.42758626,44.56729186,45.25886375,45.10582037,44.91010978,44.92916002,44.83680414
"United States of America, Norfolk",Norfolk,Norfolk,36.846164,-76.285913,Norfolk,30.92243121,32.64971038,32.60143764,31.89403806,31.88107516,31.18290431,31.80976449,31.53260943,30.4663295,28.7939613,28.05370654,27.85768747,27.39203593,29.04428858,29.766824,28.63154588,31.59155873,32.26776055,31.76965693,31.72185943,31.89358792,31.925471,33.07301025,33.09847075,33.94320001,34.14636575,34.65797454,34.92644116,34.80225449,34.04932346,34.72117949,34.91403108,34.65526203,34.25982448,35.60408207,35.7312978,35.84163918,36.40811896,36.02313431,36.17070298,38.68016977,36.11143817,37.6199146,37.68752226,37.39459267,41.51472234,43.22038071,43.82072203,43.86920402,41.93811683,42.82430943,41.95223475,41.73041738,41.80690958,41.75449475,41.79611779,41.9480346,43.41516993,44.70384788
"United States of America, Charleston",Charleston,Charleston,32.77647,-79.931027,Charleston,28.37904545,28.71361964,29.38987968,29.97468961,28.13679518,27.49836746,27.96903976,27.50334418,25.72842319,26.08314446,24.39744337,26.35134458,24.03044234,22.91531015,26.41826619,25.59730985,29.02588623,29.68591318,29.4431195,29.51984191,29.63249116,29.05294886,30.92519012,30.88675985,30.67378986,30.85758362,31.13722288,30.78486295,31.40342572,31.12978978,31.16797411,31.35863825,31.46902504,31.49928443,32.18023513,32.79543341,33.1023604,33.32311245,33.41257529,33.64644915,32.47597743,33.31599593,34.75161847,34.77794635,36.09812988,38.76033804,41.41041171,42.40174406,42.68306847,42.57808095,41.47535669,41.15185206,41.48542524,41.59045772,41.65480556,41.74532104,42.61415288,43.83003407,44.3863364
"France, Fos",Fos,Fos,42.8717,0.737225,Fos,26.09508418,28.60127626,27.90697727,29.01076519,27.98257494,28.56489351,28.42400461,30.24213345,29.02772396,29.30101286,27.67421265,28.43933198,26.46265993,27.78406529,28.41641484,28.72184494,29.5434189,30.22947702,29.83764412,35.05464268,37.48379411,37.45665447,36.94708836,34.42015384,35.49495088,38.58241932,38.02785388,38.66421371,38.93169597,39.50913754,40.9323499,40.83051015,40.57650214,40.49175089,40.91431628,41.04780317,40.70777973,40.61119527,40.69341248,41.36939372,43.13943625,43.23728474,43.40598843,43.00675614,42.89103809,45.12807275,42.0794639,45.70025653,44.80824227,46.15757476,46.72040429,46.90824452,46.55955808,42.08789836,42.05847236,48.78501549,48.26120222,41.74911546,43.26263708
"Japan, Nagoya",Nagoya,Nagoya,35.183333,136.9,Nagoya,49.49399603,50.53427378,51.02729375,55.88418147,56.66465036,49.81385695,49.55820314,48.43476399,48.82035035,50.00532697,49.68686569,51.86865786,49.42825115,50.38350145,49.56745744,50.06168397,49.07632608,50.19519334,50.47246671,50.34757169,50.31287506,49.57532021,49.2722462,49.18029638,48.37926084,48.13551654,48.29812976,48.3072249,49.4282646,48.38484044,48.38451114,48.36722055,47.98614476,46.45316398,47.90592242,54.02864053,53.80692488,53.51702333,57.65334578,56.84217541,56.98425653,57.1285179,45.73676535,45.12624623,44.46019728,42.49442861,42.54423559,42.67788505,42.24521878,42.61131086,43.57361865,43.20946815,43.95554171,43.35584322,43.06296267,42.2576302,42.30187034,41.96542677,42.44538459
"Colombia, Cartagena (CO)",Cartagena (CO),Cartagena ,10.423604,-75.524172,Cartagena,19.50134278,22.74917198,22.71205017,22.57633815,18.27301269,19.99354445,20.42316238,21.41378581,21.32195275,21.57513117,21.71847262,21.36309211,25.17674817,26.31727958,26.26680827,25.00923701,25.00255109,25.37989061,25.76503835,25.5835144,26.34257981,25.81218488,25.2376015,24.46931648,25.44024036,25.3159887,25.0908299,25.91527631,26.2786957,25.34479805,27.54299642,26.85300563,27.17612174,26.68319531,27.21569332,27.45486875,28.24840477,27.93526372,27.41578691,29.69668889,30.55993229,31.29132395,37.37747852,36.22811428,37.1131615,37.14715505,37.26646965,38.09917759,37.80017713,37.89734288,36.96304508,38.52029727,38.74087806,38.7507707,42.98166676,39.61575055,38.07266778,42.16187245,42.40381756
"Sweden, Gothenburg",Gothenburg,Gothenburg,57.706407,11.968629,Gothenburg,23.58378458,23.67451127,23.81647314,28.47819537,28.11318685,21.90764704,21.58723534,21.58723534,21.25300706,23.2866938,24.45033339,26.2826109,25.40454645,25.84696789,25.68211948,26.27889246,25.5212879,25.79890192,25.79687592,26.1899406,26.44653091,38.23643025,37.89876046,37.90987418,37.51468348,38.57021811,37.81131729,38.59720538,37.45632759,36.82965597,42.15591444,41.75385691,41.40635969,41.0501761,40.65176586,41.00667101,30.7365846,29.86608519,37.00959921,41.62203075,41.40799773,41.32683885,42.25400794,43.04576546,46.85202794,45.85283817,47.9136557,44.7660787,44.82085989,44.01663215,43.75778466,42.91736095,42.9275652,42.94510195,42.67954772,42.71586443,42.28517991,42.34241255,41.79950815
"China, Lianyungang",Lianyungang,Lianyungang,34.609263,119.169531,Lianyungang,16.87751069,23.28560465,23.64473437,22.61804434,22.99713721,18.1562219,10.75883223,12.03904875,12.39482932,12.3416036,18.51005942,19.78699489,19.95640478,24.58429986,26.24615892,26.1544484,26.41636705,26.79128237,27.83936311,27.37330187,27.68322221,26.53502563,25.54298256,27.50004023,27.1624197,28.01753482,27.96428504,28.38691664,28.0957559,28.6933648,28.70369113,27.94992126,28.62412336,28.40732978,29.09422969,29.12098429,28.96434558,29.98589912,29.77571564,30.77253264,30.99301357,31.31049843,28.6117164,29.11007259,28.78220627,37.90742341,38.19799448,37.98470111,39.10060338,37.70078643,37.78405598,38.14522238,38.71706175,38.4620668,39.52730023,41.06616142,41.43847725,46.19355081,41.28513972
"Turkey, Mersin",Mersin,Mersin,36.81275,34.630542,Mersin,19.9339003,19.80293533,19.32253195,19.29426735,18.63653376,18.86324917,18.98973427,19.12585724,23.88172211,24.10022925,24.45880642,24.5473059,19.87737525,22.62974672,19.83172226,19.48087881,18.74859798,18.59989165,20.25786043,19.8914103,20.21543642,19.63090735,20.97463793,19.42466832,20.85916978,21.20790788,21.3654498,21.86111804,22.51594145,25.92712146,23.21610985,23.37435184,25.88337059,26.20843327,28.41345609,28.52020333,29.47663123,28.61089855,29.03650273,29.13246724,29.44481228,30.66159965,31.03088056,38.67358765,37.85691697,41.68103832,43.59206321,44.12077288,44.37808041,43.23441292,42.63707419,42.10575666,42.27846015,42.15717201,41.74787953,42.08140684,41.14428026,41.29680545,41.17480692
"Israel, Haifa",Haifa,Haifa,32.819122,34.998386,Haifa,20.90700625,20.7324693,20.77500415,20.88893169,21.19291018,21.31396857,20.9879673,20.67401877,20.50930872,20.57366481,20.44912445,20.25408335,20.17358034,19.97353647,20.55387637,20.48896897,20.37899178,20.59642987,20.36223287,20.69777765,20.80392164,20.31668066,18.29010244,16.85551453,17.39464408,18.32176228,19.39170031,28.52159938,28.56988215,28.92967847,28.40591934,28.04331389,27.71869129,27.58911976,27.79998501,29.63615027,28.03208216,29.66780059,28.41702464,33.32754058,33.51555395,32.9978062,32.51602871,36.45889157,36.50807801,37.0738552,38.19042946,36.63903695,37.03394445,36.50976247,36.36406044,36.30038744,35.93570045,39.72296355,39.73550445,39.89544174,39.99346122,41.08202038,40.5436339
"Italy, La Spezia",La Spezia,La Spezia,44.107033,9.828226,La Spezia,22.82630728,25.93221064,26.12087599,26.22301646,25.22221087,25.58878383,26.59778212,28.35486039,26.94534801,26.54377236,25.73385049,26.10767281,25.77268835,25.4667771,25.86370041,26.41323495,28.33908094,28.51362471,28.55024464,34.40834288,38.22811619,38.65855078,36.2988016,35.662553,36.55351026,36.65273373,36.10104758,37.97795211,38.44127082,37.84978548,37.63176162,37.50087574,37.37194578,37.60092556,37.22250638,36.99563973,37.41620584,37.74208222,38.26445276,37.53703379,39.94050919,40.08394458,40.41537662,41.02367818,40.73237848,44.3757734,45.16678646,44.47422329,45.04790003,44.82171672,43.90632407,44.51212899,44.34628246,39.49609192,39.07982337,45.79585775,45.37618458,38.15730692,39.46699051
"Peru, Callao",Callao,Callao,-12.003604,-77.118925,Callao,17.76626235,18.77362692,19.01418561,18.72552521,17.81525633,17.88473484,17.81128783,17.57762129,17.7499913,19.03433976,17.86633247,17.83245023,19.03663701,22.23531976,22.80038316,22.52160341,23.38402547,24.71536348,22.33767945,23.49540964,24.51503486,26.10881076,26.106957,30.65416599,29.71199868,29.53012154,30.42560836,30.07140943,30.1524444,30.82862675,30.80585968,30.74671482,30.4739381,30.73729698,31.29849307,31.45088592,31.3511508,32.48619891,32.39481802,32.77425563,32.62396981,32.63881007,37.39743269,37.62635546,37.78420327,37.29342916,37.35998784,37.62248169,37.57091046,37.90352308,38.15689837,38.45488939,38.41682509,38.4783678,37.83734892,39.89888065,39.85333359,39.9488276,39.37630748
"South Africa, Durban",Durban,Durban,-29.861825,31.00991,Durban,26.02899235,26.04386034,26.65752769,27.91251041,28.97199856,28.45487527,32.81644457,29.13363479,32.08648152,30.57064288,29.70067845,30.43189055,32.07665642,31.07323025,31.86274772,32.22513554,32.09842854,32.92065506,33.32225891,33.08906267,35.54071322,35.37715112,34.28248546,34.59573237,35.06424137,33.98033353,34.24924797,33.48816578,38.17103281,38.51113687,39.20408448,38.9653267,35.29791766,37.14551519,36.54181534,36.04484642,35.78934613,35.74387389,33.15411778,32.47406408,32.44004271,31.48822863,29.96348614,29.21625807,29.1159534,29.43269901,36.72885189,36.93711824,36.52615104,36.56207977,36.74318412,35.87033637,37.28620257,35.62473695,35.72791795,37.58261706,37.84111951,39.08274317,39.21041716
